ticket_type,priority,urgency,category_level_1,category_level_2,category_level_3,location,entity,service_label,origin,created_hour,created_day_of_week,is_weekend,description_length,category_level_2
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,CLE,,Téléphone,17,3,False,219,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,GEOSYNTHESE,,Téléphone,17,3,False,179,Systéme
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,EURISK,,Téléphone,16,3,False,100,Systéme
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,CAEN,STELLIANT,,Self Service,15,3,False,96,Application métier
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,-,TEXA,,Kiosque IT,15,3,False,69,Matériel
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,-,EMTS,,Kiosque IT,15,3,False,73,Matériel
Incident,4,3 - Faible,Incidents,Application métier,GMC Soft,-,TEXA SERVICES,,Téléphone,15,3,False,199,Application métier
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,MARSEILLE,TEXA,,Téléphone,15,3,False,119,Logiciel Bureautique
Incident,4,3 - Faible,Incidents,Application métier,ITEX,RENNES,GEOP,,Self Service,15,3,False,119,Application métier
Incident,5,3 - Faible,Incidents,Application métier,Avensys,-,TEXA,,Téléphone,15,3,False,38,Application métier
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,BORDEAUX,TGS,,Self Service,14,3,False,253,Application métier
Incident,5,3 - Faible,Incidents,Application métier,Avensys,-,TEXA,,Téléphone,14,3,False,32,Application métier
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,TEXA,,Téléphone,14,3,False,38,Logiciel Bureautique
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,-,TEXA,,Self Service,14,3,False,620,Matériel
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,-,TEXA,,Self Service,14,3,False,143,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,TOULON,TEXA,,Téléphone,14,3,False,143,Systéme
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,-,TEXA,,Kiosque IT,13,3,False,61,Logiciel Bureautique
Incident,4,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,TEXA,,Self Service,13,3,False,134,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Application métier,MICROSOFT DYNAMICS AX,ROUEN,TEXA,,Téléphone,12,3,False,34,Application métier
Incident,3,2 - Moyenne,Incidents,Systéme,Windows,-,EXTERNE,,Self Service,12,3,False,605,Systéme
Incident,5,3 - Faible,Incidents,Application métier,ITEX,PLATEFORME PCN,TEXA,,Téléphone,11,3,False,62,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,RENNES,GEOP,,Téléphone,11,3,False,330,Systéme
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,Vitrolles,GMC,,Self Service,11,3,False,141,Application métier
Incident,4,3 - Faible,Incidents,Systéme,Windows Serveur,-,PHENIX,,Téléphone,11,3,False,126,Systéme
Incident,5,3 - Faible,Incidents,Logiciel Bureautique,PDF-Exchange,Vitrolles,EURISK,,Téléphone,11,3,False,68,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Systéme,Windows,MELUN,TEXA,,Téléphone,11,3,False,100,Systéme
Incident,4,3 - Faible,Incidents,Systéme,Windows Serveur,PLATEFORME PCN,TEXA,,Téléphone,10,3,False,286,Systéme
Incident,4,2 - Moyenne,Incidents,Application métier,ESKER,REIMS,TEXA,,Self Service,10,3,False,105,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,EURISK,,Téléphone,10,3,False,58,Systéme
Incident,4,2 - Moyenne,Incidents,Application métier,Ringover,AVIGNON,TEXA,,Self Service,10,3,False,239,Application métier
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,ORLEANS,TEXA SERVICES,,Self Service,10,3,False,255,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,AVIGNON,TEXA SERVICES,,Téléphone,10,3,False,208,Systéme
Incident,4,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,GMC,,Self Service,10,3,False,272,Logiciel Bureautique
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,BORDEAUX,EURISK,,Self Service,10,3,False,660,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Application métier,ITEX MOBILE,TROYES,TEXA,,Téléphone,9,3,False,129,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,-,PHENIX,,Téléphone,9,3,False,106,Systéme
Incident,4,2 - Moyenne,Incidents,Application métier,MICROSOFT DYNAMICS AX,BAYONNE,TEXA,,Self Service,9,3,False,214,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,ROUEN,TEXA,,Téléphone,9,3,False,359,Systéme
Incident,5,3 - Faible,Incidents,Systéme,Windows,VANNES,TEXA SERVICES,,Téléphone,9,3,False,54,Systéme
Incident,5,3 - Faible,Incidents,Application métier,ITEX,BOURGES CNG,TEXA,,Téléphone,9,3,False,182,Application métier
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,LILLE,TGS,,Kiosque IT,9,3,False,109,Logiciel Bureautique
Incident,5,3 - Faible,Incidents,Systéme,Windows,BOURGES CNG,TEXA,,Téléphone,9,3,False,227,Systéme
Incident,5,3 - Faible,Incidents,Application métier,ITEX,LYON,TEXA,,Téléphone,8,3,False,68,Application métier
Incident,5,3 - Faible,Incidents,Application métier,Ringover,-,TEXA,,Téléphone,8,3,False,65,Application métier
Incident,4,2 - Moyenne,Incidents,Systéme,Windows,-,EURISK,,Self Service,8,3,False,87,Systéme
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,ORLEANS,TEXA SERVICES,,Self Service,8,3,False,24,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,LYON,TEXA,,Téléphone,8,3,False,241,Systéme
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,TOURS,CLE EXPERTISES,,Téléphone,8,3,False,385,Matériel
Incident,3,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,TOULOUSE,TGS,,Self Service,7,3,False,248,Logiciel Bureautique
Incident,3,1 - Haute,Incidents,Matériel,Informatiques,-,TEXA,,Self Service,18,2,False,121,Matériel
Incident,4,2 - Moyenne,Incidents,Application métier,ITEX,PLATEFORME SUD EST,TEXA,,Self Service,18,2,False,100,Application métier
Incident,5,3 - Faible,Incidents,Systéme,Windows,LILLE,EXTERNE,,Téléphone,15,2,False,166,Systéme
Incident,5,3 - Faible,Incidents,Réseau,Cablage,LILLE,TGS,,Téléphone,15,2,False,78,Réseau
Incident,5,3 - Faible,Incidents,Matériel,Informatiques,-,TEXA,,Kiosque IT,15,2,False,58,Matériel
Incident,4,3 - Faible,Incidents,Logiciel Bureautique,Office365,LILLE,TEXA,,Téléphone,15,2,False,96,Logiciel Bureautique
Incident,4,2 - Moyenne,Incidents,Logiciel Bureautique,Office365,-,TEXA,,Self Service,15,2,False,204,Logiciel Bureautique
Incident,3,1 - Haute,Incidents,Logiciel Bureautique,Office365,VALENCE,CLE EXPERTISES,,Self Service,15,2,False,239,Logiciel Bureautique
Incident,2,1 - Haute,Incidents,Logiciel Bureautique,Office365,-,PHENIX,,Téléphone,14,2,False,833,Logiciel Bureautique
Incident,4,3 - Faible,Incidents,Matériel,Imprimante,-,GMC,,Kiosque IT,14,2,False,70,Matériel
Incident,3,1 - Haute,Incidents,Matériel,Informatiques,-,TEXA SERVICES,,Téléphone,14,2,False,363,Matériel
Incident,2,1 - Haute,Incidents,Application métier,Expensya,-,FPS,,Téléphone,14,2,False,859,Application métier
Incident,3,2 - Moyenne,Incidents,Application métier,Expensya,EURISK LILLE,EURISK,,Self Service,13,2,False,90,Application métier
Incident,1,1 - Haute,Incidents,Application métier,ITEX,BORDEAUX,TEXA,,Self Service,13,2,False,47,Application métier
Incident,5,3 - Faible,Incidents,Application métier,ITEX,RENNES,TEXA,,Téléphone,12,2,False,132,Application métier
Incident,4,2 - Moyenne,Incidents,Matériel,Informatiques,PLATEFORME SUD EST,TEXA,,Self Service,12,2,False,384,Matériel
Incident,1,1 - Haute,Incidents,Matériel,Informatiques,MONACO,TEXA,,Téléphone,12,2,False,979,Matériel
